ccaa,year,amount_eur,spend_type,program_code,program_name,plan_name,coverage,source_name,source_ref,notes,confidence
Galicia,2021,1895277,presupuestado,,Dispositivo de prevención e defensa contra incendios,"Plan PLADIGA (partial — one program/investment line, excludes running/personnel costs)",partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia (Consellería do Medio Rural, investimentos/gastos)",,"Recovered from this session's own earlier research cache (Memoria PDF for this budget year), not yet re-fetched from a live URL — source_ref pending. Partial slice of PLADIGA (this investment/program line only), same caveat as the 2023 rows already in this file.",low
Galicia,2024,7316500,presupuestado,,Prevención de incendios forestais,"Plan PLADIGA (partial — one program/investment line, excludes running/personnel costs)",partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia (Consellería do Medio Rural, investimentos/gastos)",,"Recovered from this session's own earlier research cache (Memoria PDF for this budget year), not yet re-fetched from a live URL — source_ref pending. Partial slice of PLADIGA (this investment/program line only), same caveat as the 2023 rows already in this file.",low
Galicia,2024,6000000,presupuestado,,Adquisición de vehículos equipados para a defensa contra os incendios forestais,"Plan PLADIGA (partial — one program/investment line, excludes running/personnel costs)",partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia (Consellería do Medio Rural, investimentos/gastos)",,"Recovered from this session's own earlier research cache (Memoria PDF for this budget year), not yet re-fetched from a live URL — source_ref pending. Partial slice of PLADIGA (this investment/program line only), same caveat as the 2023 rows already in this file.",low
Galicia,2024,5612000,presupuestado,,Recuperación integral do territorio afectado polos grandes incendios forestais do ano 2022,"Plan PLADIGA (partial — one program/investment line, excludes running/personnel costs)",partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia (Consellería do Medio Rural, investimentos/gastos)",,"Recovered from this session's own earlier research cache (Memoria PDF for this budget year), not yet re-fetched from a live URL — source_ref pending. Partial slice of PLADIGA (this investment/program line only), same caveat as the 2023 rows already in this file.",low
Galicia,2024,5596000,presupuestado,,"Vixiancia, prevención e extinción de incendios forestais","Plan PLADIGA (partial — one program/investment line, excludes running/personnel costs)",partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia (Consellería do Medio Rural, investimentos/gastos)",,"Recovered from this session's own earlier research cache (Memoria PDF for this budget year), not yet re-fetched from a live URL — source_ref pending. Partial slice of PLADIGA (this investment/program line only), same caveat as the 2023 rows already in this file.",low
Galicia,2024,3681145,presupuestado,,"Prevención de danos causados por incendios, desastres naturais e catástrofes","Plan PLADIGA (partial — one program/investment line, excludes running/personnel costs)",partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia (Consellería do Medio Rural, investimentos/gastos)",,"Recovered from this session's own earlier research cache (Memoria PDF for this budget year), not yet re-fetched from a live URL — source_ref pending. Partial slice of PLADIGA (this investment/program line only), same caveat as the 2023 rows already in this file.",low
Galicia,2025,15837000,presupuestado,,Aluguer medios aéreos de extinción,"Plan PLADIGA (partial — one program/investment line, excludes running/personnel costs)",partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia (Consellería do Medio Rural, investimentos/gastos)",,"Recovered from this session's own earlier research cache (Memoria PDF for this budget year), not yet re-fetched from a live URL — source_ref pending. Partial slice of PLADIGA (this investment/program line only), same caveat as the 2023 rows already in this file.",low
Galicia,2025,5962000,presupuestado,,"Vixiancia, prevención e extinción de incendios forestais","Plan PLADIGA (partial — one program/investment line, excludes running/personnel costs)",partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia (Consellería do Medio Rural, investimentos/gastos)",,"Recovered from this session's own earlier research cache (Memoria PDF for this budget year), not yet re-fetched from a live URL — source_ref pending. Partial slice of PLADIGA (this investment/program line only), same caveat as the 2023 rows already in this file.",low
Galicia,2025,3900000,presupuestado,,Dispositivo de prevención e defensa contra incendios,"Plan PLADIGA (partial — one program/investment line, excludes running/personnel costs)",partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia (Consellería do Medio Rural, investimentos/gastos)",,"Recovered from this session's own earlier research cache (Memoria PDF for this budget year), not yet re-fetched from a live URL — source_ref pending. Partial slice of PLADIGA (this investment/program line only), same caveat as the 2023 rows already in this file.",low
Comunidad de Madrid,2026,51382767,presupuestado,456A,Biodiversidad y Recursos Naturales,"Broader than INFOMA — general biodiversity/forestry program, not wildfire-isolated",partial,"Comunidad de Madrid, Presupuestos Generales 2026, ""Gastos por Programa/Partida"" (official structured Excel export)",https://www.comunidad.madrid/docs/assets/2025/12/26/2026-presupuesto-gastos-por-programa-partida.xlsx,"Madrid's budget classification does NOT isolate wildfire spending as its own program (confirmed by inspecting every program line in the official 2026 gastos-por-programa export plus the 134A Emergencias program below — neither contains an ""incendios"" line item). This program (456A) is the closest scope match to the announced INFOMA figure (52.7M for 2026, already in this dataset) — includes reforestation (60107: 3.23M), forest-area maintenance, and general natural-resource management, not fire-specific. The much larger 134A ""Emergencias"" program (280M for 2026) is Madrid's general Bomberos/emergency-services corps (urban + wildfire together) and was judged too broad to add as a comparable row without being misleading.",low
Comunidad de Madrid,2022,23708728.3,presupuestado,134A / subconcepto 22706,Servicio de prevención y apoyo a la extinción de incendios forestales e inclemencias invernales (encargo a TRAGSA),"Encargo a TRAGSA (partial year: Feb-Nov 2022, 10 of 12 months)",partial,"Official encargo (entrustment order) document, Dirección General de Emergencias, Consejería de Justicia, Interior y Víctimas, Comunidad de Madrid — obtained via FOI by Newtral, redacted copy",https://www.newtral.es/wp-content/uploads/2025/08/01._encargo_censurado_nmf_firmado.pdf,"PRIMARY SOURCE, not a press relay: this is the actual entrustment order assigning Madrid's forest-fire-brigade + winter-weather-assistance service to TRAGSA (a state-owned company, its legal medio propio instrumental). Explicitly states the expense is charged to subconcepto 22706 of programa 134A ""Emergencias"" in Madrid's own budget -- this is the SAME subconcepto/program pair where the official 2026 gastos-por-programa export (see the round-2 structural-finding row already in this file) shows EUR 31.3M for 2026, confirming this line is (at least predominantly) the TRAGSA wildfire-brigade payment, cross-verified against a second independent primary source. Total 47-month (Feb 2022-Dec 2025) encargo value: EUR 107,066,036.90 -- this row is only the 2022 (10-month) portion; the redacted copy omits the 2023/2024/2025 annual breakdown (blacked out), so those years are NOT added as separate rows to avoid fabricating a split -- only the disclosed total and this one disclosed year are used. A successor contract from 2026 is reported (not this document) to exceed EUR 32M/year.",medium
